title,website,phone_international,emails,contact_pages,instagram,youtube,twitter,linkedin,facebook
Anchorage 5th Avenue Mall,https://www.simon.com/mall/anchorage-5th-avenue-mall,tel:+19072585535,null,https://www.simon.com/contact,https://instagram.com/5thavenuemall,null,null,null,https://facebook.com/anchorage5thave
Polar Bear Gifts,https://www.polarbeargifts.net,tel:+19072744387,null,null,null,null,null,null,null
Alaska Wild Berry Products,http://www.akwildberry.com,tel:+19075628858,null,https://akwildberry.com/contact,null,null,null,null,null
Midtown Mall,https://www.midtownmall.com,tel:+19074168989,amber@midtownmall.com,https://midtownmall.com/mm-contact-us,https://instagram.com/midtown.mall,null,null,null,https://facebook.com/189081137874
Alaska Fur Exchange,http://www.alaskafurexchange.com,tel:+19075633877,akgifts@alaska.net,null,null,https://youtube.com/v/X7VMcWS0Ndc,https://twitter.com/alaskafurexch,null,https://facebook.com/pages/alaska-fur-exchange/159519820751283
Trapper Jack’s Trading Post,null,tel:+19072726110,null,null,null,null,null,null,null
Dimond Center,http://www.dimondcenter.com,tel:+19073442581,null,null,null,null,null,null,null
Santa Claus House,http://www.santaclaushouse.com,tel:+19074882200,info@santaclaushouse.com,http://www.santaclaushouse.com/shopcustcontact.asp,https://instagram.com/thesantaclaushouse,null,null,null,https://facebook.com/santaclaushouse
Once in a Blue Moose,http://www.onceinabluemoose.com,tel:+19072762141,info@onceinabluemoose.com,null,null,null,null,null,null
Grizzly's Gifts,null,tel:+19072764933,null,null,null,null,null,null,null
Ulu Factory,http://www.theulufactory.com,tel:+19072763119,info@theulufactory.com,https://theulufactory.com/contact-us,null,null,null,null,https://facebook.com/profile.php
Arctic Travelers Gift Shop,https://arctictravelersgifts.com,tel:+19074567080,null,https://arctictravelersgifts.com/contact-us,null,null,null,null,https://facebook.com/arctictravelersgiftshop
The Knotty Shop,https://m.facebook.com/pages/category/Interest/The-Knotty-Shop-144626058934813,tel:+19074883014,null,null,null,null,null,null,https://facebook.com/pages/category/interest/the-knotty-shop-144626058934813
Bass Pro Shops,https://stores.basspro.com/us/ak/anchorage/3046-mountain-view-dr.html?y_source=1_MzAxMTU1NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,tel:+19073305200,manager_anchorage_ak_bps@basspro.com,null,https://instagram.com/bassproshops,https://youtube.com/user/basspro,null,null,https://facebook.com/420205454736464
Stars of Alaska,http://www.facebook.com/starsofalaska,tel:+19079295118,null,null,null,null,null,null,https://facebook.com/starsofalaska
Moose Creek Trading Post,null,tel:+19072740958,null,null,null,null,null,null,null
Alaska Ivory Exchange,null,tel:+19072723662,null,null,null,null,null,null,null
6th Avenue Outfitters Co-op,http://www.6thavenueoutfitters.com,tel:+19072760233,admin@6thavenueoutfitters.com,https://6thavenueoutfitters.com/contact-us,https://instagram.com/6thaveoutfitters,null,null,null,https://facebook.com/6thavenueoutfitters
Bentley Mall,https://www.bentleymallfairbanks.com,tel:+19074563900,null,null,http://instagram.com/bentleymallfairbanks,null,null,null,https://facebook.com/bentleymallfairbanks
Polar Bear Gifts,https://polarbeargifts.net,tel:+19072744387,null,https://polarbeargifts.net/pages/contact-us,null,null,null,null,null
